Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments
,,,DistributionFactoryImplTest.java,testCreateChiSquareDistributionNegative,yes,yes,yes,yes,,
,,,,testCreateChiSquareDistributionZero,yes,yes,yes,yes,,
,,,,testCreateChiSquareDistributionPositive,yes,yes,yes,yes,,
,,,,testCreateGammaDistributionNegativePositive,yes,yes,yes,yes,,
,,,,testCreateGammaDistributionZeroPositive,yes,yes,yes,yes,,
,,,,testCreateGammaDistributionPositiveNegative,yes,yes,yes,yes,,
,,,,testCreateGammaDistributionPositiveZero,yes,yes,yes,yes,,
,,,,testCreateGammaDistributionPositivePositive,yes,yes,yes,yes,,
,,,GammaDistributionTest.java,testProbabilities,yes,yes,yes,yes,,
06/01/2003 23:58:33,546eeaf21921cad98f1785c34006823b7bcda43b,"Commenting out testUnivariateImpl unitl I figure out why this fails in UnivariateImpl


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk@140879 13f79535-47bb-0310-9956-ffa450edef68",CertifiedDataTest.java,testUnivariateImpl,yes,yes,yes,yes,,
06/13/2003 23:24:43,09c8b57924bc90dfcf93aa35eb79a6bd752add1d,"PR: http://nagoya.apache.org/bugzilla/show_bug.cgi?id=20773
Submitted by:	brent@worden.org


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk@140906 13f79535-47bb-0310-9956-ffa450edef68",ExponentialDistributionTest.java,testLowerTailValues,no,no,no,no,,refactor and split into multiples
06/18/2003 16:25:03,db0b59b9bc2d0dc4faae24bede1b085a796163a1,"Removed the proposed solvers, many compilation problems and a broken unit test.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk@140930 13f79535-47bb-0310-9956-ffa450edef68",RealSolverTest.java,testSinZero,yes,yes,yes,yes,,
,,,,testQuinticZero,yes,yes,yes,yes,,
06/21/2003 18:02:51,7dc1c05c596e9e42097d0af2d0c6c9e495b5bd93,"Moving TestStatisticTest to stat package.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk@140939 13f79535-47bb-0310-9956-ffa450edef68",TestStatisticTest.java,testChiSquare,yes,yes,yes,yes,,
,,,,testT,yes,yes,yes,yes,,
06/27/2003 15:58:28,62577ea18b61fd9af1cf3c54615d3613e12ed948,"Removal of statistical (min/max) and deleteFrontElements methods from DoubleArray interface (per our previous discussion)

Adjusted dependent Test and StoreUnivariateImpl classes accordingly to accomidate changes.

Added new constructor to FixedDoubleArray for double[].


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk@140955 13f79535-47bb-0310-9956-ffa450edef68",FixedDoubleArrayTest.java,testDiscardFront,yes,yes,yes,yes,,
11/01/2003 10:09:22,e389289e779612c5930d7c292bbbc94027695ae5,"Committing promotion to commons proper!


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk@141010 13f79535-47bb-0310-9956-ffa450edef68",MathConfigurationExceptionTest.java,testConstructor,yes,yes,yes,yes,we need to discuss this commit,
,,,,testConstructorMessage,yes,yes,yes,yes,,
,,,,testConstructorMessageCause,yes,yes,yes,yes,,
,,,,testConstructorCause,yes,yes,yes,yes,,
,,,MathExceptionTest.java,testConstructor,yes,yes,yes,yes,,
,,,,testConstructorMessage,yes,yes,yes,yes,,
,,,,testConstructorMessageCause,yes,yes,yes,yes,,
,,,,testConstructorCause,yes,yes,yes,yes,,
,,,BisectionSolverTest.java,testSinZero,yes,yes,yes,yes,,
,,,,testQuinticZero,yes,yes,yes,yes,,
,,,,testSetFunctionValueAccuracy,yes,yes,yes,yes,,
,,,,testResetFunctionValueAccuracy,yes,yes,yes,yes,,
,,,,testSetAbsoluteAccuracy,yes,yes,yes,yes,,
,,,,testResetAbsoluteAccuracy,yes,yes,yes,yes,,
,,,,testSetMaximalIterationCount,yes,yes,yes,yes,,
,,,,testResetMaximalIterationCount,yes,yes,yes,yes,,
,,,,testSetRelativeAccuracy,yes,yes,yes,yes,,
,,,,testResetRelativeAccuracy,yes,yes,yes,yes,,
,,,ConvergenceExceptionTest.java,testConstructor,yes,yes,yes,yes,,
,,,,testConstructorMessage,yes,yes,yes,yes,,
,,,,testConstructorMessageCause,yes,yes,yes,yes,,
,,,,testConstructorCause,yes,yes,yes,yes,,
,,,InterpolatorTest.java,testInterpolateLinearDegenerateTwoSegment,yes,yes,yes,yes,,
,,,,testInterpolateLinearDegenerateThreeSegment,yes,yes,yes,yes,,
,,,,testInterpolateLinear,yes,yes,yes,yes,,
,,,,testInterpolateSin,yes,yes,yes,yes,,
,,,,testIllegalArguments,yes,yes,yes,yes,,
,,,RealSolverTest.java,testSinZero,yes,yes,yes,yes,,
,,,,testQuinticZero,yes,yes,yes,yes,,
,,,UnivariateRealSolverUtilsTest.java,testSolveNull,yes,yes,yes,yes,,
,,,,testSolveSin,yes,yes,yes,yes,,
,,,,testSolveAccuracyNull,yes,yes,yes,yes,,
,,,,testSolveAccuracySin,yes,yes,yes,yes,,
,,,ComplexTest.java,testConstructor,yes,yes,yes,yes,,
,,,,testConstructorNaN,yes,yes,yes,yes,,
,,,,testAbs,yes,yes,yes,yes,,
,,,,testAdd,yes,yes,yes,yes,,
,,,,testAddNaN,yes,yes,yes,yes,,
,,,,testConjugate,yes,yes,yes,yes,,
,,,,testConjugateNaN,yes,yes,yes,yes,,
,,,,testDivide,yes,yes,yes,yes,,
,,,,testDivideNaN,yes,yes,yes,yes,,
,,,,testMultiply,yes,yes,yes,yes,,
,,,,testMultiplyNaN,yes,yes,yes,yes,,
,,,,testNegate,yes,yes,yes,yes,,
,,,,testNegateNaN,yes,yes,yes,yes,,
,,,,testSubtract,yes,yes,yes,yes,,
,,,,testSubtractNaN,yes,yes,yes,yes,,
,,,BinomialDistributionTest.java,testInverseCummulativeProbability001,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability010,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability025,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability050,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability100,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbability999,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability990,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability975,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability950,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability900,yes,yes,yes,yes,,
,,,,testCummulativeProbability1,yes,yes,yes,yes,,
,,,,testCumulativeProbability2,yes,yes,yes,yes,,
,,,,testCumulativeProbability3,yes,yes,yes,yes,,
,,,,testCumulativeProbability4,yes,yes,yes,yes,,
,,,,testCumulativeProbability9,yes,yes,yes,yes,,
,,,,testCummulativeProbability8,yes,yes,yes,yes,,
,,,ChiSquareDistributionTest.java,testLowerTailProbability,yes,yes,yes,yes,,
,,,,testUpperTailProbability,yes,yes,yes,yes,,
,,,,testLowerTailValues,yes,yes,yes,yes,,
,,,,testUpperTailValues,yes,yes,yes,yes,,
,,,DistributionFactoryImplTest.java,testCreateChiSquareDistributionNegative,yes,yes,yes,yes,,
,,,,testCreateChiSquareDistributionZero,yes,yes,yes,yes,,
,,,,testCreateChiSquareDistributionPositive,yes,yes,yes,yes,,
,,,,testCreateFDistributionNegativePositive,yes,yes,yes,yes,,
,,,,testCreateFDistributionZeroPositive,yes,yes,yes,yes,,
,,,,testCreateFDistributionPositiveNegative,yes,yes,yes,yes,,
,,,,testCreateFDistributionPositiveZero,yes,yes,yes,yes,,
,,,,testCreateFDistributionPositivePositive,yes,yes,yes,yes,,
,,,,testCreateExponentialDistributionNegative,yes,yes,yes,yes,,
,,,,testCreateExponentialDistributionZero,yes,yes,yes,yes,,
,,,,testCreateExponentialDistributionPositive,yes,yes,yes,yes,,
,,,,testCreateGammaDistributionNegativePositive,yes,yes,yes,yes,,
,,,,testCreateGammaDistributionZeroPositive,yes,yes,yes,yes,,
,,,,testCreateGammaDistributionPositiveNegative,yes,yes,yes,yes,,
,,,,testCreateGammaDistributionPositiveZero,yes,yes,yes,yes,,
,,,,testCreateGammaDistributionPositivePositive,yes,yes,yes,yes,,
,,,,testCreateTDistributionNegative,yes,yes,yes,yes,,
,,,,testCreateTDistributionZero,yes,yes,yes,yes,,
,,,,testCreateTDistributionPositive,yes,yes,yes,yes,,
,,,,testBinomialDistributionNegativePositive,yes,yes,yes,yes,,
,,,,testBinomialDistributionZeroPositive,yes,yes,yes,yes,,
,,,,testBinomialDistributionPositivePositive,yes,yes,yes,yes,,
,,,,testBinomialDistributionPositiveNegative,yes,yes,yes,yes,,
,,,,testBinomialDistributionPositiveZero,yes,yes,yes,yes,,
,,,,testBinomialDistributionPositiveOne,yes,yes,yes,yes,,
,,,,testBinomialDistributionPositiveTwo,yes,yes,yes,yes,,
,,,,testHypergeometricDistributionNegativePositivePositive,yes,yes,yes,yes,,
,,,,testHypergeometricDistributionZeroPositivePositive,yes,yes,yes,yes,,
,,,,testHypergeometricDistributionPositiveNegativePositive,yes,yes,yes,yes,,
,,,,testHypergeometricDistributionPositiveZeroPositive,yes,yes,yes,yes,,
,,,,testHypergeometricDistributionPositivePositiveNegative,yes,yes,yes,yes,,
,,,,testHypergeometricDistributionPositivePositiveZero,yes,yes,yes,yes,,
,,,ExponentialDistributionTest.java,testInverseCummulativeProbability001,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbability010,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbability025,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbability050,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbability100,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbability999,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbability990,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbability975,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbability950,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbability900,yes,yes,yes,yes,,
,,,,testCummulativeProbability001,yes,yes,yes,yes,,
,,,,testCummulativeProbability010,yes,yes,yes,yes,,
,,,,testCummulativeProbability025,yes,yes,yes,yes,,
,,,,testCummulativeProbability050,yes,yes,yes,yes,,
,,,,testCummulativeProbability100,yes,yes,yes,yes,,
,,,,testCummulativeProbability999,yes,yes,yes,yes,,
,,,,testCummulativeProbability990,yes,yes,yes,yes,,
,,,,testCummulativeProbability975,yes,yes,yes,yes,,
,,,,testCummulativeProbability950,yes,yes,yes,yes,,
,,,,testCummulativeProbability900,yes,yes,yes,yes,,
,,,,testCummulativeProbabilityNegative,yes,yes,yes,yes,,
,,,,testCummulativeProbabilityZero,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbabilityNegative,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbabilityZero,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbabilityOne,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbabilityPositive,yes,yes,yes,yes,,
,,,,testCummulativeProbability2,yes,yes,yes,yes,,
,,,FDistributionTest.java,testLowerTailProbability,yes,yes,yes,yes,,
,,,,testUpperTailProbability,yes,yes,yes,yes,,
,,,,testLowerTailValues,yes,yes,yes,yes,,
,,,,testUpperTailValues,yes,yes,yes,yes,,
,,,GammaDistributionTest.java,testProbabilities,yes,yes,yes,yes,,
,,,,testValues,yes,yes,yes,yes,,
,,,HypergeometricDistributionTest.java,testInverseCummulativeProbability001,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability010,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability025,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability050,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability100,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbability999,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability990,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability975,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability950,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability900,yes,yes,yes,yes,,
,,,,testCummulativeProbability0,yes,yes,yes,yes,,
,,,,testCummulativeProbability1,yes,yes,yes,yes,,
,,,,testCumulativeProbability2,yes,yes,yes,yes,,
,,,,testCumulativeProbability3,yes,yes,yes,yes,,
,,,,testCumulativeProbability4,yes,yes,yes,yes,,
,,,,testCumulativeProbability5,yes,yes,yes,yes,,
,,,TDistributionTest.java,testInverseCummulativeProbability001,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability010,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability025,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability050,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability100,yes,yes,yes,yes,,
,,,,testInverseCummulativeProbability999,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability990,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability975,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability950,yes,yes,yes,yes,,
,,,,testInverseCumulativeProbability900,yes,yes,yes,yes,,
,,,,testCummulativeProbability001,yes,yes,yes,yes,,
,,,,testCumulativeProbability010,yes,yes,yes,yes,,
,,,,testCumulativeProbability025,yes,yes,yes,yes,,
,,,,testCumulativeProbability050,yes,yes,yes,yes,,
,,,,testCumulativeProbability100,yes,yes,yes,yes,,
,,,,testCummulativeProbability999,yes,yes,yes,yes,,
,,,,testCumulativeProbability990,yes,yes,yes,yes,,
,,,,testCumulativeProbability975,yes,yes,yes,yes,,
,,,,testCumulativeProbability950,yes,yes,yes,yes,,
,,,,testCumulativeProbability900,yes,yes,yes,yes,,
,,,RealMatrixImplTest.java,testDimensions,yes,yes,yes,yes,,
,,,,testCopyFunctions,yes,yes,yes,yes,,
,,,,testAdd,yes,yes,yes,yes,,
,,,,testAddFail,yes,yes,yes,yes,,
,,,,testNorm,yes,yes,yes,yes,,
,,,,testPlusMinus,yes,yes,yes,yes,,
,,,,testMultiply,yes,yes,yes,yes,,
,,,,testIsSingular,yes,yes,yes,yes,,
,,,,testInverse,yes,yes,yes,yes,,
,,,,testSolve,yes,yes,yes,yes,,
,,,,testDeterminant,yes,yes,yes,yes,,
,,,,testTrace,yes,yes,yes,yes,,
,,,,testScalarAdd,yes,yes,yes,yes,,
,,,,testOperate,yes,yes,yes,yes,,
,,,,testTranspose,yes,yes,yes,yes,,
,,,,testPremultiply,yes,yes,yes,yes,,
,,,,testGetVectors,yes,yes,yes,yes,,
,,,,testEntryMutators,yes,yes,yes,yes,,
,,,EmpiricalDistributionTest.java,testLoad,yes,yes,yes,yes,,
,,,,testNext,yes,yes,yes,yes,,
,,,,testNexFail,yes,yes,yes,yes,,
,,,,testGridTooFine,yes,yes,yes,yes,,
,,,,testGridTooFat,yes,yes,yes,yes,,
,,,RandomDataTest.java,testNextInt,yes,yes,yes,yes,,
,,,,testNextLong,yes,yes,yes,yes,,
,,,,testNextSecureLong,yes,yes,yes,yes,,
,,,,testNextSecureInt,yes,yes,yes,yes,,
,,,,testNextPoisson,yes,yes,yes,yes,,
,,,,testNextHex,yes,yes,yes,yes,,
,,,,testNextSecureHex,yes,yes,yes,yes,,
,,,,testNextUniform,yes,yes,yes,yes,,
,,,,testNextGaussian,yes,yes,yes,yes,,
,,,,testNextExponential,yes,yes,yes,yes,,
,,,,testConfig,yes,yes,yes,yes,,
,,,,testNextSample,yes,yes,yes,yes,,
,,,,testNextPermutation,yes,yes,yes,yes,,
,,,ValueServerTest.java,testNextDigest,yes,yes,yes,yes,,
,,,,testNextDigestFail,yes,yes,yes,yes,,
,,,,testNextReplayFail,yes,yes,yes,yes,,
,,,,testReplay,yes,yes,yes,yes,,
,,,,testModes,yes,yes,yes,yes,,
,,,,testFill,yes,yes,yes,yes,,
,,,,testProperties,yes,yes,yes,yes,,
,,,BetaTest.java,testRegularizedBetaNanPositivePositive,yes,yes,yes,yes,,
,,,,testRegularizedBetaPositiveNanPositive,yes,yes,yes,yes,,
,,,,testRegularizedBetaPositivePositiveNan,yes,yes,yes,yes,,
,,,,testRegularizedBetaNegativePositivePositive,yes,yes,yes,yes,,
,,,,testRegularizedBetaPositiveNegativePositive,yes,yes,yes,yes,,
,,,,testRegularizedBetaPositivePositiveNegative,yes,yes,yes,yes,,
,,,,testRegularizedBetaZeroPositivePositive,yes,yes,yes,yes,,
,,,,testRegularizedBetaPositiveZeroPositive,yes,yes,yes,yes,,
,,,,testRegularizedBetaPositivePositiveZero,yes,yes,yes,yes,,
,,,,testRegularizedBetaPositivePositivePositive,yes,yes,yes,yes,,
,,,,testLogBetaNanPositive,yes,yes,yes,yes,,
,,,,testLogBetaPositiveNan,yes,yes,yes,yes,,
,,,,testLogBetaNegativePositive,yes,yes,yes,yes,,
,,,,testLogBetaPositiveNegative,yes,yes,yes,yes,,
,,,,testLogBetaZeroPositive,yes,yes,yes,yes,,
,,,,testLogBetaPositiveZero,yes,yes,yes,yes,,
,,,,testLogBetaPositivePositive,yes,yes,yes,yes,,
,,,GammaTest.java,testRegularizedGammaNanPositive,yes,yes,yes,yes,,
,,,,testRegularizedGammaPositiveNan,yes,yes,yes,yes,,
,,,,testRegularizedGammaNegativePositive,yes,yes,yes,yes,,
,,,,testRegularizedGammaPositiveNegative,yes,yes,yes,yes,,
,,,,testRegularizedGammaZeroPositive,yes,yes,yes,yes,,
,,,,testRegularizedGammaPositiveZero,yes,yes,yes,yes,,
,,,,testRegularizedGammaPositivePositive,yes,yes,yes,yes,,
,,,,testLogGammaNan,yes,yes,yes,yes,,
,,,,testLogGammaNegative,yes,yes,yes,yes,,
,,,,testLogGammaZero,yes,yes,yes,yes,,
,,,,testLogGammaPositive,yes,yes,yes,yes,,
,,,BeanListUnivariateImplTest.java,testStats,yes,yes,yes,yes,,
,,,,testPropStats,yes,yes,yes,yes,,
,,,,testSetPropertyName,yes,yes,yes,yes,,
,,,BivariateRegressionTest.java,testNorris,yes,yes,yes,yes,,
,,,,testCorr,yes,yes,yes,yes,,
,,,,testNaNs,yes,yes,yes,yes,,
,,,,testClear,yes,yes,yes,yes,,
,,,,testInference,yes,yes,yes,yes,,
,,,CertifiedDataTest.java,testUnivariateImpl,yes,yes,yes,yes,,
,,,,testStoredUnivariateImpl,yes,yes,yes,yes,,
,,,FrequencyTest.java,testCounts,yes,yes,yes,yes,,
,,,,testPcts,yes,yes,yes,yes,,
,,,,testToString,yes,yes,yes,yes,,
,,,,testSetName,yes,yes,yes,yes,,
,,,ListUnivariateImplTest.java,testStats,yes,yes,yes,yes,,
,,,,testN0andN1Conditions,yes,yes,yes,yes,,
,,,,testSkewAndKurtosis,yes,yes,yes,yes,,
,,,,testProductAndGeometricMean,yes,yes,yes,yes,,
,,,MixedListUnivariateImplTest.java,testStats,yes,yes,yes,yes,,
,,,,testN0andN1Conditions,yes,yes,yes,yes,,
,,,,testSkewAndKurtosis,yes,yes,yes,yes,,
,,,,testProductAndGeometricMean,yes,yes,yes,yes,,
,,,StatUtilsTest.java,testStats,yes,yes,yes,yes,,
,,,,testN0andN1Conditions,yes,yes,yes,yes,,
,,,,testSkewAndKurtosis,yes,yes,yes,yes,,
,,,,testProductAndGeometricMean,yes,yes,yes,yes,,
,,,,testArrayIndexConditions,yes,yes,yes,yes,,
,,,StoreUnivariateImplTest.java,testStats,yes,yes,yes,yes,,
,,,,testN0andN1Conditions,yes,yes,yes,yes,,
,,,,testSkewAndKurtosis,yes,yes,yes,yes,,
,,,,testProductAndGeometricMean,yes,yes,yes,yes,,
,,,,testGetSortedValues,yes,yes,yes,yes,,
,,,,testPercentiles,yes,yes,yes,yes,,
,,,TestStatisticTest.java,testChiSquare,yes,yes,yes,yes,,
,,,,testT,yes,yes,yes,yes,,
,,,UnivariateImplTest.java,testStats,yes,yes,yes,yes,,
,,,,testN0andN1Conditions,yes,yes,yes,yes,,
,,,,testProductAndGeometricMean,yes,yes,yes,yes,,
,,,,testRollingMinMax,yes,yes,yes,yes,,
,,,,testNaNContracts,yes,yes,yes,yes,,
,,,,testSkewAndKurtosis,yes,yes,yes,yes,,
,,,InteractionTest.java,testInteraction,yes,yes,yes,yes,,
,,,StorelessUnivariateStatisticAbstractTest.java,testIncrementation,yes,yes,yes,yes,,
,,,UnivariateStatisticAbstractTest.java,testEvaluation,yes,yes,yes,yes,,
,,,PercentileTest.java,testHighPercentile,yes,yes,yes,yes,,
,,,BeanTransformerTest.java,testConstructor,yes,yes,yes,yes,,
,,,,testConstructorString,yes,yes,yes,yes,,
,,,,testSetPropertyName,yes,yes,yes,yes,,
,,,,testTransformNoSuchMethod,yes,yes,yes,yes,,
,,,,testTransform,yes,yes,yes,yes,,
,,,,testTransformInvocationError,yes,yes,yes,yes,,
,,,,testTransformInvalidType,yes,yes,yes,yes,,
,,,ContinuedFractionTest.java,testGoldenRation,yes,yes,yes,yes,,
,,,DefaultTransformerTest.java,testTransformDouble,yes,yes,yes,yes,,
,,,,testTransformNull,yes,yes,yes,yes,,
,,,,testTransformInteger,yes,yes,yes,yes,,
,,,,testTransformBigDecimal,yes,yes,yes,yes,,
,,,,testTransformString,yes,yes,yes,yes,,
,,,,testTransformObject,yes,yes,yes,yes,,
,,,DoubleArrayAbstractTest.java,testAdd1000,yes,yes,yes,yes,,
,,,,testGetValues,yes,yes,yes,yes,,
,,,,testAddElementRolling,yes,yes,yes,yes,,
,,,,testMinMax,yes,yes,yes,yes,,
,,,ExpandableDoubleArrayTest.java,testSetElementArbitraryExpansion,yes,yes,yes,yes,,
,,,,testAdd1000,yes,yes,yes,yes,,
,,,,testAddElementRolling,yes,yes,yes,yes,,
,,,,testSetNumberOfElements,yes,yes,yes,yes,,
,,,,testWithInitialCapacity,yes,yes,yes,yes,,
,,,,testWithInitialCapacityAndExpansionFactor,yes,yes,yes,yes,,
,,,,testDiscard,yes,yes,yes,yes,,
,,,,testIllegalInitialCapacity,yes,yes,yes,yes,,
,,,,testIllegalExpansionFactor,yes,yes,yes,yes,,
,,,,testSetOutOfBounds,yes,yes,yes,yes,,
,,,,testGetOutOfBounds,yes,yes,yes,yes,,
,,,FixedDoubleArrayTest.java,testAddElementRolling,yes,yes,yes,yes,,
,,,,testExceedingElements,yes,yes,yes,yes,,
,,,,testGetExceeding,yes,yes,yes,yes,,
,,,,testSetElement,yes,yes,yes,yes,,
,,,,testOnlyRolling,yes,yes,yes,yes,,
,,,,testClear,yes,yes,yes,yes,,
,,,MathUtilsTest.java,testBinomialCoefficient,yes,yes,yes,yes,,
,,,,testBinomialCoefficientFail,yes,yes,yes,yes,,
,,,,testFactorial,yes,yes,yes,yes,,
,,,,testFactorialFail,yes,yes,yes,yes,,
,,,,testSignDouble,yes,yes,yes,yes,,
,,,,testSignFloat,yes,yes,yes,yes,,
,,,,testSignByte,yes,yes,yes,yes,,
,,,,testSignShort,yes,yes,yes,yes,,
,,,,testSignInt,yes,yes,yes,yes,,
,,,,testSignLong,yes,yes,yes,yes,,
,,,TransformerMapTest.java,testPutTransformer,yes,yes,yes,yes,,
,,,,testContainsClass,yes,yes,yes,yes,,
,,,,testContainsTransformer,yes,yes,yes,yes,,
,,,,testRemoveTransformer,yes,yes,yes,yes,,
,,,,testClear,yes,yes,yes,yes,,
,,,,testClasses,yes,yes,yes,yes,,
,,,,testTransformers,yes,yes,yes,yes,,
01/11/2004 1:26:51,d0ac3d2a5f49e58d9bbcd0ba214a8b66cc81990c,"Modified tests to reflect changes addressing PR #25972.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk@141052 13f79535-47bb-0310-9956-ffa450edef68",ValueServerTest.java,testNextReplayFail,yes,yes,yes,yes,,
01/25/2004 15:30:41,1b96f28e41ecb466a42e5a86c6bcdd97c510e0bb,"Refactored statistical aggregates to separate stored, storeless implementations. Changed internal sample size counters to longs.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk@141064 13f79535-47bb-0310-9956-ffa450edef68",UnivariateImplTest.java,testRollingMinMax,yes,yes,yes,yes,,
,,,,testSkewAndKurtosis,yes,yes,yes,yes,,
