Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments
,,,,test3,yes,yes,yes,yes,,
,,,,test4,yes,yes,yes,yes,,
,,,,test5,yes,yes,yes,yes,,
,,,,test6,yes,yes,yes,yes,,
,,,,test7,yes,yes,yes,yes,,
,,,,test8,yes,yes,yes,yes,,
,,,SegmentedTimelineTest.java,testMsSegmentedTimeline,yes,yes,yes,yes,,
,,,,testMs2SegmentedTimeline,yes,yes,yes,yes,,
,,,,testMondayThroughFridaySegmentedTimeline,yes,yes,yes,yes,,
,,,,testFifteenMinSegmentedTimeline,yes,yes,yes,yes,,
,,,,testMsSegment,yes,yes,yes,yes,,
,,,,testMs2Segment,yes,yes,yes,yes,,
,,,,testMondayThroughFridaySegment,yes,yes,yes,yes,,
,,,,testFifteenMinSegment,yes,yes,yes,yes,,
,,,,testMsInc,yes,yes,yes,yes,,
,,,,testMs2Inc,yes,yes,yes,yes,,
,,,,testMondayThroughFridayInc,yes,yes,yes,yes,,
,,,,testFifteenMinInc,yes,yes,yes,yes,,
,,,,testMsIncludedAndExcludedSegments,yes,yes,yes,yes,,
,,,,testMs2IncludedAndExcludedSegments,yes,yes,yes,yes,,
,,,,testMondayThroughFridayIncludedAndExcludedSegments,yes,yes,yes,yes,,
,,,,testFifteenMinIncludedAndExcludedSegments,yes,yes,yes,yes,,
,,,,testMsExceptionSegments,yes,yes,yes,yes,,
,,,,testMs2BaseTimelineExceptionSegments,yes,yes,yes,yes,,
,,,,testMondayThoughFridayExceptionSegments,yes,yes,yes,yes,,
,,,,testFifteenMinExceptionSegments,yes,yes,yes,yes,,
,,,,testMsTranslations,yes,yes,yes,yes,,
,,,,testMs2BaseTimelineTranslations,yes,yes,yes,yes,,
,,,,testMs2Translations,yes,yes,yes,yes,,
,,,,testMondayThroughFridayTranslations,yes,yes,yes,yes,,
,,,,testFifteenMinTranslations,yes,yes,yes,yes,,
,,,,testSerialization,yes,yes,yes,yes,,
,,,,testCloning,yes,yes,yes,yes,,
,,,,testEquals,yes,yes,yes,yes,,
,,,,testHashCode,yes,yes,yes,yes,,
,,,,testSerialization2,yes,yes,yes,yes,,
,,,,testBasicSegmentedTimeline,yes,yes,yes,yes,,
,,,,testSegmentedTimelineWithException1,yes,yes,yes,yes,,
,,,ThermometerPlotTest.java,testSetUnits,yes,yes,yes,yes,,
03/13/2017 15:22:32,7a5eb4da438e513501501c76e3f100999c3c6ee4,Remove 3D effects (use Orson Charts for 3D).,CategoryAxis3DTest.java,testCloning,yes,yes,yes,yes,,
,,,,testSerialization,yes,yes,yes,yes,,
,,,NumberAxis3DTest.java,testSerialization,yes,yes,yes,yes,,
,,,XYLine3DRendererTest.java,testEquals,yes,yes,yes,yes,,
,,,,testHashcode,yes,yes,yes,yes,,
,,,,testCloning,yes,yes,yes,yes,,
,,,,testPublicCloneable,yes,yes,yes,yes,,
,,,,testSerialization,yes,yes,yes,yes,,
03/10/2020 16:36:56,5836f606082f076242abfb64e289355e53d1356e,Generics / warning fixes.,PaintMapTest.java,testKeysOfDifferentClasses,yes,yes,yes,yes,,
07/02/2020 22:16:14,e8ec7697c823d9ca1a2e996a67c31fb5580e2e3c,Removed PiePlot3D,JFreeChartTest.java,testSerialization2,yes,yes,yes,yes,,
,,,PieChart3DTest.java,testReplaceDatasetOnPieChart,yes,yes,yes,yes,,
,,,,testNullValueInDataset,yes,yes,yes,yes,,
,,,PiePlot3DTest.java,testEquals,yes,yes,yes,yes,,
,,,,testSerialization,yes,yes,yes,yes,,
,,,,testDrawWithNullDataset,yes,yes,yes,yes,,
02/28/2021 10:24:20,93078512157362e7584af9a67a23a75b55b2f239,Replace StrokeMap class with regular Map.,StrokeMapTest.java,testGetStroke,yes,yes,yes,yes,,
,,,,testPut,yes,yes,yes,yes,,
,,,,testEquals,yes,yes,yes,yes,,
,,,,testCloning,yes,yes,yes,yes,,
,,,,testSerialization1,yes,yes,yes,yes,,
,,,,testSerialization2,yes,yes,yes,yes,,
02/28/2021 10:47:40,6e51b1bca58b6d4a76f53f433d03a94c3594ef82,Replace PaintMap class with regular Map.,PaintMapTest.java,testGetPaint,yes,yes,yes,yes,,
,,,,testPut,yes,yes,yes,yes,,
,,,,testEquals,yes,yes,yes,yes,,
,,,,testCloning,yes,yes,yes,yes,,
,,,,testSerialization1,yes,yes,yes,yes,,
,,,,testSerialization2,yes,yes,yes,yes,,
03/04/2021 12:08:47,23f2266614cdb362870069a124af4e4335cc54a6,"Delete PaintList class (replace with Map<Integer, Paint>)",JFreeChartTest.java,testSerialization4,no,no,no,no,,renamed
03/05/2021 22:08:30,febda0a6412471eb9a1d9d1bc975e6d81a18a72d,Remove unused DatasetGroup,DatasetGroupTest.java,testSerialization,yes,yes,yes,yes,,
01/02/2022 11:38:48,2b7df0cec3c8966f0f2e55e7a61cbcf33a06e383,Make series key immutable and remove domain and range descriptions from series (simplification).,TimeSeriesTest.java,testEquals2,yes,yes,yes,yes,,significant lines deleted even though looks like refactor
,,,,testSetKey,yes,yes,yes,yes,,significant lines deleted even though looks like refactor
,,,XYSeriesCollectionTest.java,testRenameSeries,yes,yes,yes,yes,,
,,,,testSeriesRename,yes,yes,yes,yes,,
,,,XYSeriesTest.java,testSetKey,yes,yes,yes,yes,,
