Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments
,,,,testCanBuilderFormatter,yes,yes,yes,yes,is this test real?,
,,,,testClear,yes,yes,yes,yes,is this test real?,
,,,,testAppendDTF,yes,yes,yes,yes,is this test real?,
,,,,testAppendDTPE,yes,yes,yes,yes,is this test real?,
,,,,testAppendLiteralC,yes,yes,yes,yes,is this test real?,
,,,,testAppendLiteralS,yes,yes,yes,yes,is this test real?,
,,,,testAppendNumeric,yes,yes,yes,yes,is this test real?,
,,,,testAppendSignedNumeric,yes,yes,yes,yes,is this test real?,
,,,,testAppendFraction,yes,yes,yes,yes,is this test real?,
,,,,testAppendFractionOfSecond,yes,yes,yes,yes,is this test real?,
,,,,testAppendFractionOfMinute,yes,yes,yes,yes,is this test real?,
,,,,testAppendFractionOfHour,yes,yes,yes,yes,is this test real?,
,,,,testAppendFractionOfDay,yes,yes,yes,yes,is this test real?,
,,,,testAppendMillisOfSecond,yes,yes,yes,yes,is this test real?,
,,,,testAppendMillisOfDay,yes,yes,yes,yes,is this test real?,
,,,,testAppendSecondOfMinute,yes,yes,yes,yes,is this test real?,
,,,,testAppendSecondOfDay,yes,yes,yes,yes,is this test real?,
,,,,testAppendMinuteOfHour,yes,yes,yes,yes,is this test real?,
,,,,testAppendMinuteOfDay,yes,yes,yes,yes,is this test real?,
,,,,testAppendHourOfDay,yes,yes,yes,yes,is this test real?,
,,,,testAppendClockhourOfDay,yes,yes,yes,yes,is this test real?,
,,,,testAppendHourOfHalfday,yes,yes,yes,yes,is this test real?,
,,,,testAppendClockhourOfHalfday,yes,yes,yes,yes,is this test real?,
,,,,testAppendDayOfWeek,yes,yes,yes,yes,is this test real?,
,,,,testAppendDayOfMonth,yes,yes,yes,yes,is this test real?,
,,,,testAppendDayOfYear,yes,yes,yes,yes,is this test real?,
,,,,testAppendWeekOfYearWeek,yes,yes,yes,yes,is this test real?,
,,,,testAppendWeekOfYearYear,yes,yes,yes,yes,is this test real?,
,,,,testAppendMonthOfYear,yes,yes,yes,yes,is this test real?,
,,,,testAppendYear,yes,yes,yes,yes,is this test real?,
,,,,testAppendYearOfEra,yes,yes,yes,yes,is this test real?,
,,,,testAppendYearOfCentury,yes,yes,yes,yes,is this test real?,
,,,,testAppendCentury,yes,yes,yes,yes,is this test real?,
,,,,testAppendCenturyOfEra,yes,yes,yes,yes,is this test real?,
,,,,testAppendAmPmSymbol,yes,yes,yes,yes,is this test real?,
,,,,testAppendDayOfWeekSymbol,yes,yes,yes,yes,is this test real?,
,,,,testAppendDayOfWeekShortSymbol,yes,yes,yes,yes,is this test real?,
,,,,testAppendMonthOfYearSymbol,yes,yes,yes,yes,is this test real?,
,,,,testAppendMonthOfYearShortSymbol,yes,yes,yes,yes,is this test real?,
,,,,testAppendEraSymbol,yes,yes,yes,yes,is this test real?,
,,,,testAppendTimeZoneSymbol,yes,yes,yes,yes,is this test real?,
,,,,testAppendTimeZoneShortSymbol,yes,yes,yes,yes,is this test real?,
,,,,testAppendTimeZoneOffset,yes,yes,yes,yes,is this test real?,
,,,,testAppendPattern,yes,yes,yes,yes,is this test real?,
,,,TestDateTimeParserBucket.java,testSetMillis,yes,yes,yes,yes,is this test real?,
,,,,testSaveField,yes,yes,yes,yes,is this test real?,
,,,,testSetTimeZone,yes,yes,yes,yes,is this test real?,
,,,,testSetTimeZoneOffset,yes,yes,yes,yes,is this test real?,
,,,,testGetTimeZone,yes,yes,yes,yes,is this test real?,
,,,,testGetTimeZoneOffset,yes,yes,yes,yes,is this test real?,
,,,,testComputeMillis,yes,yes,yes,yes,is this test real?,
,,,TestTimePeriod.java,testClone,yes,yes,yes,yes,is this test real?,
,,,,testFormat,yes,yes,yes,yes,is this test real?,
,,,,testGetMillis,yes,yes,yes,yes,is this test real?,
,,,,testGetStartInstant,yes,yes,yes,yes,is this test real?,
,,,,testGetEndInstant,yes,yes,yes,yes,is this test real?,
,,,,testToTimePeriod,yes,yes,yes,yes,is this test real?,
,,,,testGetTotalSeconds,yes,yes,yes,yes,is this test real?,
,,,,testGetTotalMinutes,yes,yes,yes,yes,is this test real?,
,,,,testGetTotalHours,yes,yes,yes,yes,is this test real?,
,,,,testGetTotalDays,yes,yes,yes,yes,is this test real?,
,,,,testGetTotalMonths,yes,yes,yes,yes,is this test real?,
,,,,testGetTotalWeeks,yes,yes,yes,yes,is this test real?,
,,,,testGetSeconds,yes,yes,yes,yes,is this test real?,
,,,,testGetMinutes,yes,yes,yes,yes,is this test real?,
,,,,testGetHours,yes,yes,yes,yes,is this test real?,
,,,,testGetDays,yes,yes,yes,yes,is this test real?,
,,,,testGetMonths,yes,yes,yes,yes,is this test real?,
,,,,testGetYears,yes,yes,yes,yes,is this test real?,
,,,,testEquals,yes,yes,yes,yes,is this test real?,
,,,,testHashCode,yes,yes,yes,yes,is this test real?,
,,,,testCompareTo,yes,yes,yes,yes,is this test real?,
,,,,testIsLongerThan,yes,yes,yes,yes,is this test real?,
,,,,testIsShorterThan,yes,yes,yes,yes,is this test real?,
,,,,testToString,yes,yes,yes,yes,is this test real?,
,,,TestTimePeriodFormat.java,testFormat,yes,yes,yes,yes,is this test real?,
,,,,testParseObject,yes,yes,yes,yes,is this test real?,
07/27/2004 17:21:14,d3c4efa48ca55da45286072b98aa229839d0b1ed,"Remove old test classes


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@350 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestConstructors.java,testDateOnlyConstructors,yes,yes,yes,yes,,
,,,,testTimeOnlyConstructors,yes,yes,yes,yes,,
,,,,testDateTimeConstructors,yes,yes,yes,yes,,
,,,TestInstant.java,testCurrentTimeConstructor,yes,yes,yes,yes,,
,,,,testMillisConstructor,yes,yes,yes,yes,,
,,,,testReadableInstantConstructor,yes,yes,yes,yes,,
,,,,testReadableInstantConstructorEx,yes,yes,yes,yes,,
,,,,testDateConstructor,yes,yes,yes,yes,,
,,,,testDateConstructorEx,yes,yes,yes,yes,,
,,,,testCalendarConstructor,yes,yes,yes,yes,,
,,,,testCalendarConstructorEx,yes,yes,yes,yes,,
,,,,testStringConstructor,yes,yes,yes,yes,,
,,,,testStringConstructorEx,yes,yes,yes,yes,,
,,,,testGetChronology,yes,yes,yes,yes,,
,,,,testToInstant,yes,yes,yes,yes,,
,,,,testToString,yes,yes,yes,yes,,
,,,TestMDTAdd.java,testAddMillis,yes,yes,yes,yes,is this test real?,
,,,,testLast,yes,yes,yes,yes,is this test real?,
,,,TestMDTAddWrapped.java,testFailure,yes,yes,yes,yes,is this test real?,
,,,,testLast,yes,yes,yes,yes,is this test real?,
,,,TestMDTGet.java,testGetChronology,yes,yes,yes,yes,,
,,,,testGetMillis,yes,yes,yes,yes,,
,,,,testGetDayOfWeek,yes,yes,yes,yes,,
,,,,testGetDayOfMonth,yes,yes,yes,yes,,
,,,,testGetDayOfYear,yes,yes,yes,yes,,
,,,,testGetWeekOfWeekyear,yes,yes,yes,yes,,
,,,,testGetYearOfWeekyear,yes,yes,yes,yes,,
,,,,testGetMonthOfYear,yes,yes,yes,yes,,
,,,,testGetYear,yes,yes,yes,yes,,
,,,,testGetMillisOfSecond,yes,yes,yes,yes,,
,,,,testGetMillisOfDay,yes,yes,yes,yes,,
,,,,testGetSecondOfMinute,yes,yes,yes,yes,,
,,,,testGetSecondOfDay,yes,yes,yes,yes,,
,,,,testGetMinuteOfHour,yes,yes,yes,yes,,
,,,,testGetMinuteOfDay,yes,yes,yes,yes,,
,,,,testGetHourOfDay,yes,yes,yes,yes,,
,,,,testDayOfWeek,yes,yes,yes,yes,,
,,,,testDayOfMonth,yes,yes,yes,yes,,
,,,,testDayOfYear,yes,yes,yes,yes,,
,,,,testWeekOfWeekyear,yes,yes,yes,yes,,
,,,,testWeekyear,yes,yes,yes,yes,,
,,,,testMonthOfYear,yes,yes,yes,yes,,
,,,,testYear,yes,yes,yes,yes,,
,,,,testMillisOfSecond,yes,yes,yes,yes,,
,,,,testMillisOfDay,yes,yes,yes,yes,,
,,,,testSecondOfMinute,yes,yes,yes,yes,,
,,,,testSecondOfDay,yes,yes,yes,yes,,
,,,,testMinuteOfHour,yes,yes,yes,yes,,
,,,,testMinuteOfDay,yes,yes,yes,yes,,
,,,,testHourOfDay,yes,yes,yes,yes,,
,,,,testToString,yes,yes,yes,yes,,
,,,,testLast,yes,yes,yes,yes,,
,,,TestMDTSet.java,testSetMillisL,yes,yes,yes,yes,,
,,,,testSetMillisO,yes,yes,yes,yes,,
,,,,testSetDTFI,yes,yes,yes,yes,,
,,,,testSetDateL,yes,yes,yes,yes,,
,,,,testSetDateO,yes,yes,yes,yes,,
,,,,testSetDateIII,yes,yes,yes,yes,,
,,,,testSetTimeL,yes,yes,yes,yes,,
,,,,testSetTimeO,yes,yes,yes,yes,,
,,,,testSetTimeIIII,yes,yes,yes,yes,,
,,,,testSetDateTimeL,yes,yes,yes,yes,,
,,,,testSetDateTimeO,yes,yes,yes,yes,,
,,,,testSetDateTimeIs,yes,yes,yes,yes,,
,,,,testSetYear,yes,yes,yes,yes,,
,,,,testSetMonthOfYear,yes,yes,yes,yes,,
,,,,testSetDayOfMonth,yes,yes,yes,yes,,
,,,,testSetHourOfDay,yes,yes,yes,yes,,
,,,,testSetMinuteOfHour,yes,yes,yes,yes,,
,,,,testSetSecondOfMinute,yes,yes,yes,yes,,
,,,,testSetMillisOfSecond,yes,yes,yes,yes,,
,,,,testSetDayOfYear,yes,yes,yes,yes,,
,,,,testSetDayOfWeek,yes,yes,yes,yes,,
,,,,testSetWeekOfYear,yes,yes,yes,yes,,
,,,,testLast,yes,yes,yes,yes,,
08/01/2004 17:10:36,7b179791d98f66990aa09a5a9fdc237d520ef1f0,"Add MillisDuration for precise durations


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@355 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestDurationType.java,testAverageYearMonthType,yes,yes,yes,yes,,
,,,,testAverageYearMonthType_Chronology,yes,yes,yes,yes,,
08/03/2004 18:49:32,226fd68cc77369f5c7cec5195e32c41229a7cac1,"Fix tests after TimePeriod creation


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@360 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestDuration_Basics.java,testConstant,yes,yes,yes,yes,Please check this commit. I think there are some additional deleted tests not included in this sheet,
,,,TestMutablePeriod_Basics.java,testCompareTo,yes,yes,yes,yes,,
,,,TestMutablePeriod_Constructors.java,testConstructor_DurationType_boolean3,yes,yes,yes,yes,,
,,,TestLongConverter.java,testIsPrecise_Object,yes,yes,yes,yes,,
,,,TestNullConverter.java,testIsPrecise_Object,yes,yes,yes,yes,,
,,,TestReadableDurationConverter.java,testIsPrecise_Object,yes,yes,yes,yes,,
,,,TestReadableIntervalConverter.java,testIsPrecise_Object,yes,yes,yes,yes,,
,,,TestStringConverter.java,testIsPrecise_Object,yes,yes,yes,yes,,
08/07/2004 6:55:14,3f62b3a3ef59f954a14f09aeee97053618da1c74,"Tests and fixes


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@366 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestDuration_Basics.java,testGetPeriodType,yes,yes,yes,yes,,
,,,,testGetIsPrecise,yes,yes,yes,yes,,
,,,,testAddTo1,yes,yes,yes,yes,,
,,,,testAddTo2,yes,yes,yes,yes,,
,,,,testAddTo3,yes,yes,yes,yes,,
,,,,testAddTo4,yes,yes,yes,yes,,
,,,,testAddTo5,yes,yes,yes,yes,,
,,,,testAddToWithChronology1,yes,yes,yes,yes,,
,,,,testAddToWithChronology2,yes,yes,yes,yes,,
,,,,testAddToWithChronology3,yes,yes,yes,yes,,
,,,,testAddToRI1,yes,yes,yes,yes,,
,,,,testAddToRI2,yes,yes,yes,yes,,
,,,,testAddToRI3,yes,yes,yes,yes,,
,,,,testAddToRI4,yes,yes,yes,yes,,
,,,,testAddIntoRWI1,yes,yes,yes,yes,,
,,,,testAddIntoRWI2,yes,yes,yes,yes,,
,,,,testAddIntoRWI3,yes,yes,yes,yes,,
,,,,testToMutableTimePeriod,yes,yes,yes,yes,,
,,,,testWithPeriodTypeUsingTotalMillis1,yes,yes,yes,yes,,
,,,,testWithPeriodTypeUsingTotalMillis2,yes,yes,yes,yes,,
,,,,testWithPeriodTypeUsingTotalMillis3,yes,yes,yes,yes,,
,,,,testWithPeriodTypeUsingTotalMillis4,yes,yes,yes,yes,,
,,,,testWithPeriodTypeUsingFields2,yes,yes,yes,yes,,
,,,,testWithPeriodTypeUsingFields3,yes,yes,yes,yes,,
,,,,testWithPeriodTypeUsingFields4,yes,yes,yes,yes,,
,,,,testWithFieldsNormalized2,yes,yes,yes,yes,,
,,,,testSetDuration_ints,yes,yes,yes,yes,is this test real?,
,,,,testSetTotalMillis_1,yes,yes,yes,yes,is this test real?,
,,,,testSetTotalMillis_2,yes,yes,yes,yes,is this test real?,
,,,,testSetYears,yes,yes,yes,yes,is this test real?,
,,,,testSetMonths,yes,yes,yes,yes,is this test real?,
,,,,testSetWeeks,yes,yes,yes,yes,is this test real?,
,,,,testSetDays,yes,yes,yes,yes,is this test real?,
,,,,testSetHours,yes,yes,yes,yes,is this test real?,
,,,,testSetMinutes,yes,yes,yes,yes,is this test real?,
,,,,testSetSeconds,yes,yes,yes,yes,is this test real?,
,,,,testNormalize,yes,yes,yes,yes,is this test real?,
,,,TestDuration_Constructors.java,testConstructor_long_PeriodType1,yes,yes,yes,yes,,
,,,,testConstructor_long_PeriodType2,yes,yes,yes,yes,,
,,,,testConstructor_long_PeriodType3,yes,yes,yes,yes,,
,,,,testConstructor_long_PeriodType4,yes,yes,yes,yes,,
,,,,testConstructor_4int1,yes,yes,yes,yes,,
,,,,testConstructor_8int1,yes,yes,yes,yes,,
,,,,testConstructor_8int__PeriodType1,yes,yes,yes,yes,,
,,,,testConstructor_8int__PeriodType2,yes,yes,yes,yes,,
,,,,testConstructor_8int__PeriodType3,yes,yes,yes,yes,,
,,,,testConstructor_long_long2,yes,yes,yes,yes,,
,,,,testConstructor_long_long_PeriodType1,yes,yes,yes,yes,,
,,,,testConstructor_long_long_PeriodType2,yes,yes,yes,yes,,
,,,,testConstructor_long_long_PeriodType3,yes,yes,yes,yes,,
,,,,testConstructor_RI_RI5,yes,yes,yes,yes,,
,,,,testConstructor_RI_RI_PeriodType1,yes,yes,yes,yes,,
,,,,testConstructor_RI_RI_PeriodType2,yes,yes,yes,yes,,
,,,,testConstructor_RI_RI_PeriodType3,yes,yes,yes,yes,,
,,,,testConstructor_RI_RI_PeriodType4,yes,yes,yes,yes,,
,,,,testConstructor_RI_RI_PeriodType5,yes,yes,yes,yes,,
,,,,testConstructor_Object_PeriodType1,yes,yes,yes,yes,,
,,,,testConstructor_Object_PeriodType2,yes,yes,yes,yes,,
,,,,testConstructor_Object_PeriodType3,yes,yes,yes,yes,,
,,,,testConstructor_Object_PeriodType4,yes,yes,yes,yes,,
08/07/2004 8:26:53,d9b72f091c8a157695bed7db408e36e839d95430,"Enhance IntervalConverter


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@368 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestStringConverter.java,testSetInto_Object,no,no,no,no,,renamed and split into other tests
08/14/2004 13:35:42,12c05dd8bccbefa84472abb08c10feca97a07bb8,"Refactor AbstractDuration to remove instance variable


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@389 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestDuration_Basics.java,testImmutable,yes,yes,yes,yes,,
,,,,testSetDuration_RD_1,yes,yes,yes,yes,is this test real?,
,,,,testSetDuration_RD_2,yes,yes,yes,yes,is this test real?,
,,,,testSetMillis,yes,yes,yes,yes,is this test real?,
,,,,testMutable,yes,yes,yes,yes,,
08/16/2004 15:36:07,7fd2cb9ad007d3016734fc50a1ad206b6a3b1b6c,"More tests


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@396 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestInterval_Basics.java,testToInterval2,yes,yes,yes,yes,,
,,,,testToMutableInterval2,yes,yes,yes,yes,,
,,,TestMutableInterval_Basics.java,testToInterval2,conflict,no,no,yes,"First, I think testToInterval1 is deleted. Then, testToInterval2 is renamed to testToInterval1. ",
,,,,testToMutableInterval2,no,no,no,no,"First, I think testToMutableInterval1 is deleted. Then, testToMutableInterval2 is renamed to testToMutableInterval1. ",
08/20/2004 16:20:42,99af0da006022513fbb260c2c3a8648eb3059406,"Create base subpackage


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@402 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestDateMidnight_Basics.java,testImmutable,yes,yes,yes,yes,,
,,,,testSetMillis,yes,yes,yes,yes,is this test real?,
,,,,testSetMillisObject,yes,yes,yes,yes,is this test real?,
,,,,testSetChronology,yes,yes,yes,yes,is this test real?,
,,,,testSetZone,yes,yes,yes,yes,is this test real?,
,,,,testSetZoneRetainFields,yes,yes,yes,yes,is this test real?,
,,,TestDateTime_Basics.java,testImmutable,yes,yes,yes,yes,,
,,,,testSetMillis,yes,yes,yes,yes,is this test real?,
,,,,testSetMillisObject,yes,yes,yes,yes,is this test real?,
,,,,testSetChronology,yes,yes,yes,yes,is this test real?,
,,,,testSetZone,yes,yes,yes,yes,is this test real?,
,,,,testSetZoneRetainFields,yes,yes,yes,yes,is this test real?,
08/21/2004 16:29:39,5f2aa4794e8094eb6b3018589c3a751f61bd2fa6,"Create BasePeriod


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@415 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestPeriod_Basics.java,testImmutable,yes,yes,yes,yes,,
,,,,testSetPeriod_RP,yes,yes,yes,yes,is this test real?,
,,,,testSetPeriod_RD,yes,yes,yes,yes,is this test real?,
,,,,testSetPeriod_ints,yes,yes,yes,yes,is this test real?,
,,,,testSetPeriod_1,yes,yes,yes,yes,is this test real?,
,,,,testSetPeriod_2,yes,yes,yes,yes,is this test real?,
,,,,testSetYears,yes,yes,yes,yes,is this test real?,
,,,,testSetMonths,yes,yes,yes,yes,is this test real?,
,,,,testSetWeeks,yes,yes,yes,yes,is this test real?,
,,,,testSetDays,yes,yes,yes,yes,is this test real?,
,,,,testSetHours,yes,yes,yes,yes,is this test real?,
,,,,testSetMinutes,yes,yes,yes,yes,is this test real?,
,,,,testSetSeconds,yes,yes,yes,yes,is this test real?,
,,,,testSetMillis,yes,yes,yes,yes,is this test real?,
,,,,testNormalize,yes,yes,yes,yes,is this test real?,
08/21/2004 17:58:21,becd808db463a8a568b4372ce646265a4e6b55ec,"Unify method handling, removing Object parameter methods


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@420 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestMutableDateTime_Adds.java,testAdd_Object_int3,no,no,no,no,,
,,,,testAdd_DateTimeField_int1,conflict,no,yes,no,,renamed and modified
,,,,testAddWrapField_DateTimeField_int1,yes,yes,yes,yes,,
,,,TestMutableDateTime_Sets.java,testSetDateTime_long1,yes,yes,yes,yes,,
,,,,testSetDateTime_Object1,yes,yes,yes,yes,,
,,,,testSetDateTime_Object2,yes,yes,yes,yes,,
08/21/2004 18:35:35,dfe9eff2ee221da405405fc3e001837260c8a443,"Change toTrustedISODateTime() to toDateTimeISO()


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@422 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestMutableDateTime_Basics.java,testToTrustedISOMutableDateTime,no,no,yes,no,,
08/22/2004 10:25:24,3877455129a7ee0c1c50ff3a4cf9116732a26862,"Remove old test classes


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@433 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestBuddhistChronology.java,testEraConstant,yes,yes,yes,yes,,
,,,,testGetInstanceUTC,yes,yes,yes,yes,,
,,,,testGetInstanceNull,yes,yes,yes,yes,,
,,,,testGetInstanceZone,yes,yes,yes,yes,empty test,
,,,,testGetInstanceZoneUTC,yes,yes,yes,yes,,
,,,,testMillisOfSecond,yes,yes,yes,yes,empty test,
,,,,testMillisOfDay,yes,yes,yes,yes,empty test,
,,,,testSecondOfMinute,yes,yes,yes,yes,empty test,
,,,,testSecondOfDay,yes,yes,yes,yes,empty test,
,,,,testMinuteOfHour,yes,yes,yes,yes,empty test,
,,,,testMinuteOfDay,yes,yes,yes,yes,empty test,
,,,,testHourOfDay,yes,yes,yes,yes,empty test,
,,,,testClockhourOfDay,yes,yes,yes,yes,empty test,
,,,,testHourOfHalfday,yes,yes,yes,yes,empty test,
,,,,testClockhourOfHalfday,yes,yes,yes,yes,empty test,
,,,,testAmPm,yes,yes,yes,yes,empty test,
,,,,testDayOfWeek,yes,yes,yes,yes,empty test,
,,,,testDayOfMonth,yes,yes,yes,yes,empty test,
,,,,testDayOfYear,yes,yes,yes,yes,empty test,
,,,,testWeekOfYearWeek,yes,yes,yes,yes,empty test,
,,,,testMonthOfYear,yes,yes,yes,yes,empty test,
,,,,testLeapYear,yes,yes,yes,yes,empty test,
,,,,testWeekOfYearYear,yes,yes,yes,yes,is this test real?,
,,,,testYear,yes,yes,yes,yes,,
,,,,testYearOfCentury,yes,yes,yes,yes,,
,,,,testCenturyOfEra,yes,yes,yes,yes,,
,,,,testEra,yes,yes,yes,yes,,
,,,TestBuddhistEraDateTimeField.java,testGetAsTextLocale,yes,yes,yes,yes,,
,,,,testGetAsText,yes,yes,yes,yes,,
,,,,testGetAsShortTextLocale,yes,yes,yes,yes,,
,,,,testGetAsShortText,yes,yes,yes,yes,,
,,,TestGJYearDateTimeField.java,testIsLeapYear,yes,yes,yes,yes,,
,,,,testGetLeapAmount,yes,yes,yes,yes,,
08/22/2004 11:52:19,82e420bb78bebf465f3cc54e3ee2a631f87fe7b2,"Remove get chronology methods as they confuse matters when getting instance on subclass


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@437 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestChronology.java,testGetISO,yes,yes,yes,yes,,
,,,,testGetISOUTC,yes,yes,yes,yes,,
,,,,testGetISO_Zone,yes,yes,yes,yes,,
,,,,testGetGJ,yes,yes,yes,yes,,
,,,,testGetGJUTC,yes,yes,yes,yes,,
,,,,testGetGJ_Zone,yes,yes,yes,yes,,
08/28/2004 12:18:44,5fd28fcd3425461dfcff1800753513f94807f652,"Fix and simplify zero handling in period format


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@458 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestPeriodFormatterBuilder.java,testFormatPrintZeroRarelyFavorLast,no,no,no,no,,
09/04/2004 18:48:26,73c467922eaf2579fa5c24e5aa2c8e5ffdc50aeb,"Refactor Periods
- no longer have a chronology
- period type is based around DurationFieldType
- array structure internally
- not convertable to durations


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@478 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",TestDuration_Basics.java,testToPeriod_PeriodType2,yes,yes,yes,yes,,
,,,TestDuration_Constructors.java,testConstructor_Object6,yes,yes,yes,yes,,
,,,TestMutablePeriod_Basics.java,testGetIsPrecise,yes,yes,yes,yes,,
,,,,testAddTo5,no,no,no,no,,
,,,,testToDurationMillis,conflict,no,yes,no,,
,,,,testToDuration,conflict,no,yes,no,,
,,,TestMutablePeriod_Updates.java,testSetPeriod_long_NoHours,yes,yes,yes,yes,,
,,,,testSetPeriod_long_NoMinutes,yes,yes,yes,yes,,
,,,,testSetPeriod_long_NoSeconds,yes,yes,yes,yes,,
,,,,testAdd_long3,yes,yes,yes,yes,,
,,,,testAdd_long4,yes,yes,yes,yes,,
,,,,testAdd_RD3,yes,yes,yes,yes,"I think several deleted tests in this class are not in this sheet, such as testAdd_RD5",
,,,,testAdd_RD4,yes,yes,yes,yes,,
,,,,testNormalize1,yes,yes,yes,yes,,
,,,,testNormalize2,yes,yes,yes,yes,,
,,,TestPeriodType.java,testMillisType,yes,yes,yes,yes,,
,,,,testYearDayType,yes,yes,yes,yes,,
,,,,testDayHourTypeUTC,yes,yes,yes,yes,,
,,,,testYearDayTypeUTC,yes,yes,yes,yes,,
,,,,testYearWeekTypeUTC,yes,yes,yes,yes,,
,,,,testYearMonthTypeUTC,yes,yes,yes,yes,,
,,,,testAllTypeUTC,yes,yes,yes,yes,,
,,,,testPreciseDayHourType,yes,yes,yes,yes,,
